Адриановка, Забайкальский край;673333
Адуево, Калужская обл.;249960
Адыгейск, Адыгея респ.;385200
Адыге-хабль, Карачаево-черкесская респ.;369330
Адык, Калмыкия респ.;359250
Адыр-кежиг, Тыва респ.;668551
Адышево, Кировская обл.;612077
Аев, Омская обл.;646395
Ажинов, Ростовская обл.;346622
Азалаково, Татарстан респ.;423371
Азаматово, Удмуртская респ.;427893
Азамат-юрт, Чеченская респ.;366907
Азанка, Свердловская обл.;623960
Азаново, Кемеровская обл.;652141
Азаново, Марий Эл респ.;425225
Азаполье, Архангельская обл.;164768
Азаровка, Брянская обл.;243264
Азарово, Тверская обл.;172347
Азево, Татарстан респ.;422218
Азеево, Рязанская обл.;391653
Азигулово, Свердловская обл.;623368
Азикеево, Башкортостан респ.;452553
Азим-сирма, Чувашская респ.;429214
Азино, Удмуртская респ.;427025
Азнакаево, Татарстан респ.;423330
Азово, Башкортостан респ.;453039
Азово, Омская обл.;646880
Азов, Ростовская обл.;346780
Азовская, Краснодарский край;353245
Азовы, Тюменская обл.;629651
Азрапино, Нижегородская обл.;607922
Азъял, Марий Эл респ.;425151
Азяково, Башкортостан респ.;452968
Аим, Хабаровский край;682575
Аитово, Башкортостан респ.;452057
Айбаш, Татарстан респ.;422726
Айбечи, Чувашская респ.;429710
Айбуляк, Башкортостан респ.;452823
Айга, Вологодская обл.;161566
Айгулево, Башкортостан респ.;453141
Айгурский, Ставропольский край;356715
Айдарали, Башкортостан респ.;453190
Айдар, Белгородская обл.;309761
Айдарово, Воронежская обл.;396002
Айдарово, Татарстан респ.;422095
Айдырлинский, Оренбургская обл.;462854
Айкино, Коми респ.;169040
Айлино, Челябинская обл.;456926
Аймаки, Дагестан респ.;368257
Аймаумахи, Дагестан респ.;368519
Айнское, Сахалинская обл.;694855
Айон, Чаунский район;689425
Айсуак, Башкортостан респ.;453366
Айхал, Саха (Якутия) респ.;678190
Айша, Татарстан респ.;422522
Академический, Тверская обл.;171105
Акана, Саха (Якутия) респ.;678457
Акатная маза, Саратовская обл.;412766
Акатово, Смоленская обл.;215002
Акатьево, Московская обл.;140478
Акация, Кемеровская обл.;652035
Акбарисово, Башкортостан респ.;452634
Акбашева, Челябинская обл.;456895
Акбаш, Пермский край;618157
Акбаш, Свердловская обл.;623089
Акбаш, Татарстан респ.;423225
Акбулак, Оренбургская обл.;461550
Акбулатово, Башкортостан респ.;452844
Акбуре, Татарстан респ.;423197
